NEW PAIR:
Pair: AXP & WAB
Window,10
Z-Score Threshold,2.0
Neutral Threshold,1.0
Initial Margin,10000.0
Margin Ratio,0.25
Final Margin,26839.486470298776
Total PnL,16839.486470298776

Trading Signals:
Time: 2023-07-24 00:00:00 - Neutral (No position)
"Time: 2023-08-14 00:00:00 - Short AXP, Long WAB"
Time: 2023-08-15 00:00:00 - Neutral (No position)
"Time: 2023-08-23 00:00:00 - Long AXP, Short WAB"
Time: 2023-08-29 00:00:00 - Neutral (No position)
"Time: 2023-08-31 00:00:00 - Long AXP, Short WAB"
"Time: 2023-09-05 00:00:00 - Short AXP, Long WAB"
Time: 2023-09-06 00:00:00 - Neutral (No position)
"Time: 2023-09-08 00:00:00 - Short AXP, Long WAB"
Time: 2023-09-18 00:00:00 - Neutral (No position)
"Time: 2023-09-22 00:00:00 - Long AXP, Short WAB"
Time: 2023-10-02 00:00:00 - Neutral (No position)
"Time: 2023-10-18 00:00:00 - Short AXP, Long WAB"
Time: 2023-10-23 00:00:00 - Neutral (No position)
"Time: 2023-10-25 00:00:00 - Long AXP, Short WAB"
Time: 2023-10-31 00:00:00 - Neutral (No position)
"Time: 2023-11-14 00:00:00 - Long AXP, Short WAB"
Time: 2023-11-15 00:00:00 - Neutral (No position)
"Time: 2023-11-17 00:00:00 - Short AXP, Long WAB"
Time: 2023-11-21 00:00:00 - Neutral (No position)
"Time: 2023-11-28 00:00:00 - Short AXP, Long WAB"
Time: 2023-12-04 00:00:00 - Neutral (No position)
"Time: 2023-12-14 00:00:00 - Short AXP, Long WAB"
Time: 2023-12-20 00:00:00 - Neutral (No position)
"Time: 2024-01-02 00:00:00 - Short AXP, Long WAB"
Time: 2024-01-08 00:00:00 - Neutral (No position)
"Time: 2024-01-11 00:00:00 - Long AXP, Short WAB"
Time: 2024-01-19 00:00:00 - Neutral (No position)
"Time: 2024-01-29 00:00:00 - Short AXP, Long WAB"
Time: 2024-02-01 00:00:00 - Neutral (No position)
"Time: 2024-02-09 00:00:00 - Short AXP, Long WAB"
Time: 2024-02-13 00:00:00 - Neutral (No position)
"Time: 2024-02-14 00:00:00 - Short AXP, Long WAB"
Time: 2024-02-21 00:00:00 - Neutral (No position)
"Time: 2024-03-20 00:00:00 - Short AXP, Long WAB"
Time: 2024-03-22 00:00:00 - Neutral (No position)
"Time: 2024-04-02 00:00:00 - Long AXP, Short WAB"
Time: 2024-04-12 00:00:00 - Neutral (No position)
"Time: 2024-04-22 00:00:00 - Short AXP, Long WAB"
Time: 2024-04-29 00:00:00 - Neutral (No position)
"Time: 2024-05-14 00:00:00 - Short AXP, Long WAB"
Time: 2024-05-15 00:00:00 - Neutral (No position)
"Time: 2024-05-23 00:00:00 - Long AXP, Short WAB"
Time: 2024-05-29 00:00:00 - Neutral (No position)
"Time: 2024-06-04 00:00:00 - Short AXP, Long WAB"
Time: 2024-06-05 00:00:00 - Neutral (No position)
"Time: 2024-06-11 00:00:00 - Long AXP, Short WAB"
Time: 2024-06-14 00:00:00 - Neutral (No position)
"Time: 2024-07-01 00:00:00 - Short AXP, Long WAB"
Time: 2024-07-08 00:00:00 - Neutral (No position)
"Time: 2024-07-22 00:00:00 - Long AXP, Short WAB"
Time: 2024-07-23 00:00:00 - Neutral (No position)
"Time: 2024-07-24 00:00:00 - Short AXP, Long WAB"
Time: 2024-08-02 00:00:00 - Neutral (No position)
"Time: 2024-08-16 00:00:00 - Short AXP, Long WAB"
Time: 2024-08-21 00:00:00 - Neutral (No position)
"Time: 2024-09-10 00:00:00 - Long AXP, Short WAB"
Time: 2024-09-11 00:00:00 - Neutral (No position)
"Time: 2024-09-24 00:00:00 - Long AXP, Short WAB"
Time: 2024-09-27 00:00:00 - Neutral (No position)
"Time: 2024-10-18 00:00:00 - Long AXP, Short WAB"
Time: 2024-10-23 00:00:00 - Neutral (No position)
"Time: 2024-11-01 00:00:00 - Short AXP, Long WAB"
Time: 2024-11-04 00:00:00 - Neutral (No position)
"Time: 2024-11-06 00:00:00 - Short AXP, Long WAB"
Time: 2024-11-07 00:00:00 - Neutral (No position)
"Time: 2024-11-22 00:00:00 - Short AXP, Long WAB"
Time: 2024-12-02 00:00:00 - Neutral (No position)
"Time: 2024-12-09 00:00:00 - Long AXP, Short WAB"
